nome_escola,codigo_municipio,score_socioeconomico,quantidade_salas,score_potencial
COLEGIO SALESIANO SANTA ROSA,3303302,0.9614,45.0,0.9943
EDUARDO GOMES COLEGIO,3548807,0.9243,47.0,0.9924
ESCOLA VILLARE,3548807,0.9243,45.0,0.9919
EDUCANDARIO IMACULADA CONCEICAO,4205407,0.8644,50.0,0.9914
COLEGIO SANTO AGOSTINHO UNIDADE NOVA LIMA,3144805,0.8031,78.0,0.9913
INSTITUTO GAYLUSSAC - ENS FUNDAMENTAL E MEDIO,3303302,0.9614,37.0,0.9912
FENIX SANTA PAULA ESCOLA UNDADE I E II,3548807,0.9243,42.0,0.9911
ESCOLA INTERNACIONAL DE FORMACAO GERENCIAL,3144805,0.8031,71.0,0.991
INST ITALO BRASILEIRO BICULTURAL,3144805,0.8031,71.0,0.991
PROGRAMA BAIRRO EDUCADOR,4205407,0.8644,48.0,0.9909
SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC,3205309,0.7699,135.0,0.9909
SENAI NITEROI,3303302,0.9614,36.0,0.9906
COLEGIO BOM JESUS CORACAO DE JESUS,4205407,0.8644,45.0,0.9902
INST MAIA VINAGRE,3303302,0.9614,35.0,0.9899
ISJB - COLEGIO SALESIANO REGIAO OCEANICA,3303302,0.9614,35.0,0.9899
COLEGIO ANGLO BALNEARIO CAMBORIU,4202008,0.8339,50.0,0.9897
CE LEONARDO DA VINCI,3205309,0.7699,60.0,0.9897
CENTRO DE ENSINO CHARLES DARWIN,3205309,0.7699,48.0,0.9879
REDE DE ENSINO NOVO TEMPO,3548500,0.7308,65.0,0.9879
SENAI ES - CENTRO DE EDUCACAO E TECNOLOGIA ARIVALDO FONTES,3205309,0.7699,48.0,0.9879
COLEGIO RENOVACAO,3205309,0.7699,45.0,0.9872
EXTERNATO SANTO ANTONIO,3548807,0.9243,34.0,0.9868
ANTONIO SOUZA NOSCHESE ESCOLA SENAI,3548500,0.7308,51.0,0.9867
SENAC NITEROI,3303302,0.9614,30.0,0.9855
COLEGIO OBJETIVO CAMBOINHAS,3303302,0.9614,30.0,0.9855
CE PRIMEIRO MUNDO,3205309,0.7699,40.0,0.9855
SANTA CECILIA COLEGIO,3548500,0.7308,45.0,0.9852
ARMANDO DE ARRUDA PEREIRA ESCOLA SENAI,3548807,0.9243,32.0,0.9851
LICEU SANTISTA,3548500,0.7308,44.0,0.9849
ESCOLA SAO DOMINGOS,3205309,0.7699,38.0,0.9845
ESCOLA SENAI PAULO ANTONIO SKAF,3548807,0.9243,31.0,0.9843
COL MARILIA MATTOSO,3303302,0.9614,28.0,0.9829
CARMO COLEGIO,3548500,0.7308,38.0,0.9825
COLEGIO SANTA TEREZINHA,4205407,0.8644,31.0,0.9825
COLEGIO ADVENTISTA DE FLORIANOPOLIS - ESTREITO,4205407,0.8644,31.0,0.9825
COLEGIO ENERGIA,4205407,0.8644,31.0,0.9825
JEAN PIAGET UNIDADE II EEPG,3548500,0.7308,36.0,0.9816
COL MARISTA NOSSA SENHORA DO ROSARIO,4314902,0.7294,83.0,0.9815
ESCOLA DINAMICA,4205407,0.8644,30.0,0.9814
ESCOLA JARDIM ANCHIETA,4205407,0.8644,30.0,0.9814
COLEGIO FARROUPILHA,4314902,0.7294,72.0,0.9811
COLEGIO UNIFICADO,4202008,0.8339,31.0,0.9809
COL NOSSA SENHORA DO BOM CONSELHO,4314902,0.7294,68.0,0.9809
COLEGIO ISRAELITA BRASILEIRO,4314902,0.7294,59.0,0.9804
CENTRO DE ENSINO MEDIO PASTOR DOHMS-UNIDADE DE ENSINO HIGIENOPOLIS,4314902,0.7294,59.0,0.9804
COL METODISTA AMERICANO,4314902,0.7294,56.0,0.9802
COLEGIO CRIATIVO MATRIZ,4205407,0.8644,29.0,0.9802
COL LA SALLE SANTO ANTONIO,4314902,0.7294,54.0,0.9799
COLEGIO NOSSA SRA DA GLORIA,4314902,0.7294,52.0,0.9797
SENAC SANTOS,3548500,0.7308,33.0,0.9793
LICEU SAO PAULO,3548500,0.7308,33.0,0.9793
ONIS COLEGIO,3548500,0.7308,32.0,0.9784
COLEGIO SALESIANO JARDIM CAMBURI,3205309,0.7699,30.0,0.9784
ESCOLA CRESCER,3205309,0.7699,30.0,0.9784
ESCOLA CANADENSE EDUCACAO GLOBAL CANADIAN SCHOOL OF NITEROI,3303302,0.9614,25.0,0.9783
CENTRO MODERNO DE ENSINO LTDA,3303302,0.9614,25.0,0.9783
INSTITUTO GAYLUSSAC - JARDIM,3303302,0.9614,25.0,0.9783
COLEGIO ANGLO BALNEARIO CAMBORIU,4202008,0.8339,28.0,0.9772
COLEGIO SAO JUDAS TADEU,4314902,0.7294,42.0,0.9771
ESTABELECIMENTO DE ENSINO ESCOLA AMERICANA DE SANTOS,3548500,0.7308,30.0,0.9764
OBJETIVO DO LITORAL CENTRO EDUCACIONAL UNIDADE VI,3548500,0.7308,30.0,0.9764
COL SANTA DOROTEIA,4314902,0.7294,40.0,0.9763
COLEGIO ADVENTISTA DE PORTO ALEGRE,4314902,0.7294,40.0,0.9763
COLEGIO MAE DE DEUS,4314902,0.7294,40.0,0.9763
ESCOLA DINAMICA - LESTE,4205407,0.8644,26.0,0.976
CENTRO DE EDUCACAO ACAO E EXPRESSAO,4205407,0.8644,26.0,0.976
UP CENTRO EDUCACIONAL,3205309,0.7699,28.0,0.9758
COLEGIO SALESIANO DOM BOSCO,4314902,0.7294,39.0,0.9758
CAT JOSE TARQUINIO SILVA,3205309,0.7699,28.0,0.9758
COLEGIO BATISTA MINEIRO - UNIDADE ALPHAVILLE NOVA LIMA,3144805,0.8031,27.0,0.9752
CENTRO DE FORMACAO PROFISSIONAL SENAI VISCONDE DE MAUA,4314902,0.7294,37.0,0.9749
COL LA SALLE SAO JOAO,4314902,0.7294,37.0,0.9749
ESCOLA TECNICA CRISTO REDENTOR,4314902,0.7294,36.0,0.9744
INSTITUTO DE EDUCACAO SAO FRANCISCO,4314902,0.7294,36.0,0.9744
INSTITUTO SANTA LUZIA,4314902,0.7294,36.0,0.9744
DUAL INTERNATIONAL SCHOOL,4205407,0.8644,25.0,0.9742
SENAC DE FLORIANOPOLIS,4205407,0.8644,25.0,0.9742
SANT ANNA COLEGIO,3556701,0.6722,54.0,0.9739
COL MONTEIRO LOBATO - ESC EDUC BASICA,4314902,0.7294,35.0,0.9736
SISTEMA EDUCACIONAL BRASILEIRO DE EDUCACAO BASICA - SEB JARDIM DA PENHA,3205309,0.7699,26.0,0.9729
CENTRO DE ENSINO GUROO,4205407,0.8644,24.0,0.9721
ESCOLA AUTONOMIA,4205407,0.8644,24.0,0.9721
COLEGIO PROVINCIA DE SAO PEDRO,4314902,0.7294,33.0,0.9721
COL ADVENTISTA MARECHAL RONDON,4314902,0.7294,33.0,0.9721
ESCOLA DE EDUCACAO INFANTIL ENVOLVE E DESENVOLVE,4314902,0.7294,33.0,0.9721
COLEGIO ERASTO GAERTNER,4106902,0.6515,104.0,0.9715
COLEGIO BOM JESUS NOSSA SENHORA DE LOURDES ED INF ENS FUND E MEDIO,4106902,0.6515,106.0,0.9715
COLEGIO BOM JESUS ED INFANTIL ENSINO FUNDAMENTAL E MEDIO SEDE,4106902,0.6515,94.0,0.9714
SENAI CIDADE INDUSTRIAL DE CURITIBA,4106902,0.6515,92.0,0.9714
SENAC SAUDE,4314902,0.7294,32.0,0.9712
ESCOLA PANAMERICANA EDUC BASICA,4314902,0.7294,32.0,0.9712
COLEGIO PLUZ,3303302,0.9614,22.0,0.9712
ESCOLA AMERICANA DE VITORIA,3205309,0.7699,25.0,0.9712
ESCOLA BOM JESUSENSINO FUNDAMENTAL SUBSEDE AGUA VERDE I,4106902,0.6515,78.0,0.9712
ESCOLA POSITIVO JUNIOR - EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,4106902,0.6515,80.0,0.9712
UEPT 1 - UNIDADE DE EDUCACAO PRO E TECNOLOGICA DE CURITIBA CENTRO- SENAC,4106902,0.6515,74.0,0.971
COLEGIO POSITIVO JARDIM AMBIENTAL EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,72.0,0.971
COLEGIO INTERNACIONAL DE CURITIBA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,70.0,0.9709
ANGELICAL C E I,4106902,0.6515,71.0,0.9709
COLEGIO PROGRESSO UNIDADE VINHEDO,3556701,0.6722,41.0,0.9708
COLEGIO MURIALDO,4314902,0.7294,31.0,0.9703
COLEGIO SENHORA DE FATIMA ED INF ENSINO FUND MEDIO SC LTDA,4106902,0.6515,56.0,0.97
BOM JESUS ESCOLA INF E ENS FUND SUBSEDE AGUA VERDE II,4106902,0.6515,52.0,0.9695
ESCOLA DE ENSINO MEDIO VINICIUS DE MORAIS,4314902,0.7294,30.0,0.9692
COL JOAO PAULO I - UNIDADE SUL,4314902,0.7294,30.0,0.9692
ESCOLA SAINT MARY S SCHOOL,3548500,0.7308,25.0,0.9692
ESCOLA TECNICA DE SAUDE DO ES - ETESES,3205309,0.7699,24.0,0.969
CENTRO DE EDUCACAO PROFISSIONAL UNITEC,4106902,0.6515,47.0,0.9683
ESCOLA PINGO DE LUZ,3303302,0.9614,21.0,0.9682
ASTER CENTRO EDUCACIONAL,4202008,0.8339,23.0,0.9681
SANTO ANJO ECOVILLE ESC EDUC INF ENS FUND,4106902,0.6515,46.0,0.9681
ASSEIJ COLEGIO NOSSA SENHORA DO ROSARIO,4106902,0.6515,44.0,0.9676
ESCOLA DOS SONHOS,4205407,0.8644,22.0,0.9672
COLEGIO SANTO ANJO BARIGUI ENS FUNDAMENTAL E ENS MEDIO,4106902,0.6515,42.0,0.967
SENAI CELSO CHARURI,4106902,0.6515,42.0,0.967
UP CENTRO EDUCACIONAL,3205309,0.7699,23.0,0.9667
ESCOLA SAO DOMINGOS,3205309,0.7699,23.0,0.9667
COLEGIO RAINHA DO BRASIL,4314902,0.7294,28.0,0.9666
COLEGIO NOSSA SENHORA DE SION - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,40.0,0.9661
COLEGIO DOM BOSCO UNIDADE AHU,4106902,0.6515,39.0,0.9656
ESCOLA UMBRELLA,4106902,0.6515,39.0,0.9656
BOM JESUS DIVINA PROVIDENCIA COL EDUC INF ENS FUND E MEDIO,4106902,0.6515,38.0,0.9652
COLEGIO DO BOSQUE MANANCIAIS,4106902,0.6515,38.0,0.9652
COLEGIO ATENEU SANTISTA,3548500,0.7308,23.0,0.9647
PROGRESSO BILINGUE UNIDADES I,3548500,0.7308,23.0,0.9647
CENTRO EDUCACIONAL ARARIBOIA,3303302,0.9614,20.0,0.9642
CURSO PREPARATORIO RIACHUELO,3303302,0.9614,20.0,0.9642
INSTITUTO MAIA VINAGRE FUNDAMENTAL,3303302,0.9614,20.0,0.9642
COLEGIO NITEROI,3303302,0.9614,20.0,0.9642
CURSO RIACHUELO,3303302,0.9614,20.0,0.9642
COLEGIO COLABORE,3303302,0.9614,20.0,0.9642
COLEGIO E CURSO ZEROHUM NITEROI,3303302,0.9614,20.0,0.9642
COLEGIO MV I ICARAI,3303302,0.9614,20.0,0.9642
CENTRO EDUCACIONAL CIRANDINHA,3303302,0.9614,20.0,0.9642
ESPACO ESCOLA LUDENS LTDA - EPP,3303302,0.9614,20.0,0.9642
FUNDAMENTUM COLEGIO,3556206,0.6494,47.0,0.9641
COLEGIO ESTIMOARTE,4205407,0.8644,21.0,0.9641
COLEGIO DO CAMPECHE,4205407,0.8644,21.0,0.9641
COLEGIO SINODAL DO SALVADOR,4314902,0.7294,26.0,0.9638
ESCOLA TECNICA INTEC,4106902,0.6515,35.0,0.9635
ESCOLA GRACE E - EI EF,4106902,0.6515,35.0,0.9635
ESCOLA ATUACAO EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,4106902,0.6515,34.0,0.9627
LICEU CATARINENSE DE ENSINO,4202008,0.8339,21.0,0.9624
CONSTRUINDO O SABER ESCOLA MATERNAL LTDA ME,4202008,0.8339,21.0,0.9624
KENNEDY PRESIDENTE COLEGIO,3548500,0.7308,22.0,0.9621
UNIVERSITAS COLEGIO EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,3548500,0.7308,22.0,0.9621
COL MARIA IMACULADA,4314902,0.7294,25.0,0.962
SINGULAR UNIDADE SAO CAETANO COLEGIO,3548807,0.9243,20.0,0.9619
VINHEDO COLEGIO DE,3556701,0.6722,29.0,0.9619
SESI 222 CENTRO EDUCACIONAL,3548807,0.9243,20.0,0.9619
COLEGIO MODELO CURITIBA EIRELI,4106902,0.6515,33.0,0.9619
COL OPET CENTRO CIVICO ED INF ENS FUND MEDIO,4106902,0.6515,33.0,0.9619
ESCOLA ATUACAO BOQUEIRAO,4106902,0.6515,33.0,0.9619
ETAPA COLEGIO,3556206,0.6494,39.0,0.9614
MADALENA SOFIA COL - EDUC INF-EF-EM,4106902,0.6515,32.0,0.9611
COLEGIO NOSSA SENHORA DE SION-SOLITUDE- EIEFEM,4106902,0.6515,32.0,0.9611
CE AGOSTINIANO,3205309,0.7699,21.0,0.9611
CEP BELO HORIZONTE,3106200,0.6082,100.0,0.9604
MORUMBI DE ALPHAVILLE ESCOLA DE ENSINO FUNDAMENTAL,3547304,0.6289,38.0,0.9604
SENAI BELO HORIZONTE CECOTEG SERGIO DE FREITAS PACHECO,3106200,0.6082,89.0,0.9603
COLEGIO SESI INTERNACIONAL DE CURITIBA ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,31.0,0.9602
ESCOLA DA ILHA,4205407,0.8644,20.0,0.9602
SESC SERVICO SOCIAL DO COMERCIO,4205407,0.8644,20.0,0.9602
COLEGIO VILA OLIMPIA,4205407,0.8644,20.0,0.9602
CASTANHEIRAS ESCOLA,3547304,0.6289,37.0,0.96
COLEGIO CURSO INTELLECTUS - UNIDADE OCEANICA,3303302,0.9614,19.0,0.96
SESI 299 CENTRO EDUCACIONAL,3556206,0.6494,36.0,0.96
COLEGIO ROMANO SENHOR BOM JESUS,4314902,0.7294,24.0,0.9598
GUAIBA CURSOS TECNICOS LTDA,4314902,0.7294,24.0,0.9598
COLEGIO BATISTA BRASIL,4314902,0.7294,24.0,0.9598
OBJETIVO COLEGIO UNIDADE ALPHAVILLE,3547304,0.6289,36.0,0.9594
COLEGIO SANTO AGOSTINHO,3106200,0.6082,62.0,0.9593
COLEGIO ATTOS,3556701,0.6722,27.0,0.9592
MAPLE BEAR SANTOS,3548500,0.7308,21.0,0.9591
ESCOLA BAMBINATAEDUCACAO INFANTIL E ENSINO FUNDAM,4106902,0.6515,30.0,0.9591
PENTAGONO COLEGIO UNIDADE ALPHAVILLE,3547304,0.6289,35.0,0.9587
COLEGIO RAIZES,4202008,0.8339,20.0,0.9585
ESCOLA AMERICANA DE BELO HORIZONTE,3106200,0.6082,52.0,0.9584
C EDUC SAO TOMAS DE AQUINO,3144805,0.8031,20.0,0.9579
STELLA MARIS AGUA VERDE,4106902,0.6515,29.0,0.9578
STELLA MARIS XAXIM KIDS,4106902,0.6515,29.0,0.9578
STELLA MARIS XAXIM,4106902,0.6515,29.0,0.9578
ACESSO SANTA FELICIDADE,4106902,0.6515,29.0,0.9578
STELLA MARIS JUVEVE,4106902,0.6515,29.0,0.9578
INSTITUTO DE EDUCACAO CRISTA DE CURITIBA,4106902,0.6515,29.0,0.9578
COLEGIO ADVENTISTA PORTAO - EIEFM,4106902,0.6515,29.0,0.9578
ELITE CURITIBA EMILIANO PERNETA,4106902,0.6515,29.0,0.9578
ACESSO BOQUEIRAO,4106902,0.6515,29.0,0.9578
SENAI CAMPUS DA INDUSTRIA,4106902,0.6515,29.0,0.9578
SAGRADA FAMILIA INSTITUTO DE ENSINO,3548807,0.9243,19.0,0.9577
COLEGIO SALESIANO N S DA VITORIA,3205309,0.7699,20.0,0.9571
NOVA GERACAO E EI EF,4106902,0.6515,28.0,0.9565
COLEGIO MAGNUM AGOSTINIANO NOVA FLORESTA,3106200,0.6082,44.0,0.9565
COLEGIO ADVENTISTA BOQUEIRAO - EIEFEM,4106902,0.6515,28.0,0.9565
INFANCIA FELIZ E EI EF,4106902,0.6515,28.0,0.9565
EDUCACAO INFANTIL COMECAR BEM,4106902,0.6515,28.0,0.9565
COLEGIO SAGRADO CORACAO DE JESUS,3106200,0.6082,43.0,0.9562
COLEGIO GERACAO,4205407,0.8644,19.0,0.956
CURSO MARLY CURY,3303302,0.9614,18.0,0.9557
FORUM CULTURAL,3303302,0.9614,18.0,0.9557
JARDIM DE INFANCIA ALDEIA CURUMIM EIRELI,3303302,0.9614,18.0,0.9557
COLEGIO E CURSO ZEROHUM ICARAI,3303302,0.9614,18.0,0.9557
ESCOLA TRILHAS ENSINO FUNDAMENTAL,4106902,0.6515,27.0,0.9551
CRISTA DE CURITIBA E EI EF,4106902,0.6515,27.0,0.9551
SENAI BOQUEIRAO,4106902,0.6515,27.0,0.9551
SESI 087 CENTRO EDUCACIONAL,3548500,0.7308,20.0,0.9551
ESCOLA LUMIAR,3548500,0.7308,20.0,0.9551
SENAC TECH,4314902,0.7294,22.0,0.9549
COLEGIO CONCORDIA - PORTO ALEGRE,4314902,0.7294,22.0,0.9549
ESCOLA TECNICA FACTUM,4314902,0.7294,22.0,0.9549
COLEGIO MESQUITA,4314902,0.7294,22.0,0.9549
COLEGIO MANGABEIRAS,3106200,0.6082,39.0,0.9545
ESCOLA BALAO VERMELHO,3106200,0.6082,39.0,0.9545
COLEGIO BATISTA GETSEMANI,3106200,0.6082,39.0,0.9545
ST NICHOLAS ALPHAVILLE ESCOLA ANGLO BRASILEIRA,3547304,0.6289,30.0,0.9543
PROZ - UNIDADE BELO HORIZONTE,3106200,0.6082,38.0,0.9541
SENAI BELO HORIZONTE CETEL CESAR RODRIGUES,3106200,0.6082,38.0,0.9541
COLEGIO POSITIVO AGUA VERDE - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,26.0,0.9536
COLEGIO ENERGIA ATIVA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,26.0,0.9536
COLEGIO ENSITEC - ENSINO FUNDAMENTAL MEDIO E PROFISSIONAL,4106902,0.6515,26.0,0.9536
COLEGIO DECISIVO CRISTO REI EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,26.0,0.9536
COLEGIO AMPLACAO ED INFANTIL ENSINO FUNDAMENTAL E MEDIO LTDA,4106902,0.6515,26.0,0.9536
COLEGIO NOSSA SENHORA DA PIEDADE,3106200,0.6082,37.0,0.9536
COLEGIO POSITIVO ANGELO SAMPAIO - ENSINO MEDIO E PROFISSIONAL,4106902,0.6515,26.0,0.9536
DI THIENE LICEU ESCOLA DE EDUCACAO BASICA,3548807,0.9243,18.0,0.9533
ATENEU DE SAO CAETANO DO SUL COLEGIO UNIDADE I,3548807,0.9243,18.0,0.9533
AA SCHOOL AMERICAN ACADEMY CAMPUS,3548807,0.9243,18.0,0.9533
COLEGIO NOSSA SENHORA DAS DORES,3106200,0.6082,36.0,0.9531
INSTITUTO EDUCACIONAL MISSAO PAZ,3106200,0.6082,36.0,0.9531
COLEGIO MARISTA PADRE EUSTAQUIO,3106200,0.6082,35.0,0.9524
COLEGIO SANTO AGOSTINHO - UNIDADE GUTIERREZ,3106200,0.6082,35.0,0.9524
CENTRO DE ENSINO MEDIO PASTOR DOHMS- UNIDADE DE ENSINO ZONA SUL,4314902,0.7294,21.0,0.9519
ESC TEC JOSE CESAR DE MESQUITA,4314902,0.7294,21.0,0.9519
COLEGIO BOM JESUS SEVIGNE,4314902,0.7294,21.0,0.9519
COLEGIO POSITIVO BOA VISTA - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,25.0,0.9519
COLEGIO SESI PORTAO EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,25.0,0.9519
COLEGIO EVEREST INTERNACIONAL - EFM,4106902,0.6515,25.0,0.9519
CURSOS E COLEGIO COQUEIROS LTDA ME,4205407,0.8644,18.0,0.9516
ESCOLA SEB UNIMASTER,3106200,0.6082,34.0,0.9516
TEIXEIRA ICARAI COLEGIO LTDA COLEGIO E CURSO INTELLECTUS ICARAI,3303302,0.9614,17.0,0.9504
INST EDUC TAURUS,3303302,0.9614,17.0,0.9504
PRIMEIRO PASSO ESCOLA,3547304,0.6289,27.0,0.9503
COLEGIO BURITIS AGOSTINIANO,3106200,0.6082,32.0,0.9499
COLEGIO ELITE CONTEMPORANEO EI EF M,4106902,0.6515,24.0,0.9497
LUMEN EDUCACAO INFANTIL E ENSINO FUNDAMENTAL,4106902,0.6515,24.0,0.9497
COLEGIO POSITIVO INTERNACIONAL - EDUCACAO INFANTIL ENSINO FUNDAMENTAL E MEDIO,4106902,0.6515,24.0,0.9497
SANTO ANJO - ANJINHO,4106902,0.6515,24.0,0.9497
ESCOLA ALDEIA BETANIA,4106902,0.6515,24.0,0.9497
C EDUCACIONAL CCI SENIOR,5300108,0.6029,85.0,0.9496
COL PRESBITERIANO MACKENZIE - BRASILIA,5300108,0.6029,84.0,0.9496
C EDUCACIONAL LEONARDO DA VINCI - UNID NORTE,5300108,0.6029,81.0,0.9495
C DE CRIATIVIDADE INFANTO-JUVENIL - CCI,5300108,0.6029,80.0,0.9495
INSTITUTO CASSIO MAGNANI,3144805,0.8031,18.0,0.9494
AJUDANDO A ESCOLHER O SEU CAMINHO COLEGIO AESC,3556206,0.6494,26.0,0.9494
COLEGIO RUDOLF STEINER DE MINAS GERAIS,3144805,0.8031,18.0,0.9494
CED LEONARDO DA VINCI - UNIDADE TAGUATINGA,5300108,0.6029,72.0,0.9492
INSTITUTO EDUCACIONAL ROUXINOL - COLEGIO NEUSA ROCHA,3106200,0.6082,31.0,0.9491
COLEGIO DONA CLARA,3106200,0.6082,31.0,0.9491
COL CIMAN,5300108,0.6029,63.0,0.9488
UP CENTRO EDUCACIONAL,3205309,0.7699,18.0,0.9486
ESCOLA DE EDUCACAO INFANTIL LAPIS DE COR,3205309,0.7699,18.0,0.9486
CED PROJECAO TAGUATINGA NORTE UNIDADE II,5300108,0.6029,56.0,0.9483
ADVENTISTA SAO CAETANO DO SUL COLEGIO,3548807,0.9243,17.0,0.948
C EDUCACIONAL SIGMA,5300108,0.6029,53.0,0.948
COLEGIO ADVENTISTA DO PARTENON,4314902,0.7294,20.0,0.9479
ESCOLA DE EDUCACAO PROFISSIONAL UNITEC,4314902,0.7294,20.0,0.9479
COLEGIO LEONARDO DA VINCI- BETA,4314902,0.7294,20.0,0.9479
ESCOLA DE ENSINO FUNDAMENTAL SAO FRANCISCO DE ASSIS,4314902,0.7294,20.0,0.9479
COLEGIO LEONARDO DA VINCI-ALFA,4314902,0.7294,20.0,0.9479
ESC DAS NACOES,5300108,0.6029,52.0,0.9478
ANCHIETA CTRO EDUC - LTDA,4106902,0.6515,23.0,0.9474
SOCIEDADE EDUCACIONAL NOVO EDEN LTDA,4106902,0.6515,23.0,0.9474
CEBEC E EI EF,4106902,0.6515,23.0,0.9474
COLEGIO ESIC - ENSINO MEDIO,4106902,0.6515,23.0,0.9474
EDUCACAO DO SERVICO SOCIAL DO COMERCIO - EDUSESC CEILANDIA,5300108,0.6029,50.0,0.9473
ESC EDUCART,5300108,0.6029,50.0,0.9473
C EDUCACIONAL SIGMA - ASA NORTE,5300108,0.6029,50.0,0.9473
ESC MAPLE BEAR BRASILIA UNIDADE 1,5300108,0.6029,50.0,0.9473
COL NOSSA SENHORA APARECIDA,5300108,0.6029,50.0,0.9473
MARISABEL BALOTIN - ME,5300108,0.6029,50.0,0.9473
INSTITUTO DE ENSINO INTEGRAL LTDA,5300108,0.6029,50.0,0.9473
EDUCACAO DO SERVICO SOCIAL DO COMERCIO - EDUSESC GAMA,5300108,0.6029,50.0,0.9473
CENED CENTRO DE EDUCACAO PROFISSIONAL LTDA-ME,5300108,0.6029,50.0,0.9473
ESC EDUCMAIS SAMAMBAIA,5300108,0.6029,50.0,0.9473
INSTITUTO SOMA DE EDUCACAO LTDA,5300108,0.6029,50.0,0.9473
COL REACAO II,5300108,0.6029,50.0,0.9473
SOCIEDADE DE EDUCACAO DO SOL LTDA,5300108,0.6029,50.0,0.9473
COL ISAAC NEWTON,5300108,0.6029,50.0,0.9473
CENTRO DE ENSINO WGS LTDA,5300108,0.6029,50.0,0.9473
EMPREENDIMENTOS EDUCACIONAIS FERREIRA GOMES LTDA,5300108,0.6029,50.0,0.9473
COL ANCHIETA I,5300108,0.6029,50.0,0.9473
COL LA SALLE BRASILIA,5300108,0.6029,50.0,0.9473
COL ELITE JK GUARA,5300108,0.6029,50.0,0.9473
SERVICO SOCIAL DO COMERCIO - EDUSESC MEC,5300108,0.6029,50.0,0.9473
SOCIEDADE ANCHIETA DE EDUCACAO INTEGRAL LTDA,5300108,0.6029,50.0,0.9473
COL LICEU,5300108,0.6029,49.0,0.947
ESC MARIA MONTESSORI - EF,5300108,0.6029,48.0,0.9468
ESC MAPLE BEAR SUDOESTE - CANDANGUINHO,5300108,0.6029,48.0,0.9468
ESCOLA SEB SAGRADO,3106200,0.6082,29.0,0.9467
CRECHE DONA QUITA TOLENTINO,3106200,0.6082,29.0,0.9467
COLEGIO LOGOSOFICO GONZALEZ PECOTCHE,3106200,0.6082,29.0,0.9467
OBJETIVO CENTRO EDUCACIONAL DO LITORAL UNIDADE I,3548500,0.7308,18.0,0.9466
COL COC JARDIM BOTANICO,5300108,0.6029,47.0,0.9466
CONGONHAS ESCOLA TECNICA EACON,3548500,0.7308,18.0,0.9466
CETEF CENTRO DE ENS TECNOL FLORIANOPOLIS LTDA,4205407,0.8644,17.0,0.9463
COC COLEGIO OSVALDO CARVALHO EIRELI EPP,4205407,0.8644,17.0,0.9463
COLEGIO DA LAGOA,4205407,0.8644,17.0,0.9463
COLEGIO FUTURO EIRELI - ME,4205407,0.8644,17.0,0.9463
ESCOLA A NOVA DIMENSAO,4205407,0.8644,17.0,0.9463
COLEGIO NOSSA SENHORA DA CONCEICAO,4205407,0.8644,17.0,0.9463
ESCOLA MAGIA DO SABER,4205407,0.8644,17.0,0.9463
AZ FLORIPA,4205407,0.8644,17.0,0.9463
COLEGIO ATITUDE,4205407,0.8644,17.0,0.9463
REDE EDUCACIONAL FRANCISCANA COL SANTO ANTONIO,5300108,0.6029,45.0,0.9461
CE DO SESI-DF - TAGUATINGA,5300108,0.6029,44.0,0.9459
ESC AMERICANA DE BRASILIA,5300108,0.6029,43.0,0.9456
COLEGIO BERNOULLI,3106200,0.6082,28.0,0.9454
COL CHROMOS PAMPULHA,3106200,0.6082,28.0,0.9454
COLEGIO FRANCISCANO SAGRADA FAMILIA,3106200,0.6082,28.0,0.9454
COL VISAO,5300108,0.6029,42.0,0.9453
COL EVEREST BRASILIA,5300108,0.6029,42.0,0.9453
ESC ATUAL,5300108,0.6029,41.0,0.9449
LS ESCOLA TECNICA,5300108,0.6029,41.0,0.9449
COL MARISTA AGUAS CLARAS,5300108,0.6029,41.0,0.9449
C EDUCACIONAL SIGMA AGUAS CLARAS,5300108,0.6029,41.0,0.9449
C EDUCACIONAL SAGRADA FAMILIA,5300108,0.6029,41.0,0.9449
VIVER E APRENDER E EI EF,4106902,0.6515,22.0,0.9448
COLEGIO DE EDUCACAO CRISTA ACADEMICA- EDUCACAO INFANTIL ENSINO FUNDAMENTAL E ENSINO MEDIO,4106902,0.6515,22.0,0.9448
INTEGRAL COL - EDUC INF EF-EM,4106902,0.6515,22.0,0.9448
ESC SEB DINATOS,5300108,0.6029,40.0,0.9444
COL PROMOVE DE BRASILIA,5300108,0.6029,40.0,0.9444
